make,model,colour,capacity,network,grade,condition,count
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade B B2B",Working,4
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade B - Good Condition","Non-working - DeBrand",4
Blackberry,"CURVE 9360 - AZERTY",Black,512MB,Unlocked,"Grade C - Acceptable Condition",BER,4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,68
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable","UK Unlocked Only","Grade B - Good Condition","Non-working - DeBrand",4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",40
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Repair - HardWare",4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,32
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade D","Power On Tested-Good LCD",4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Need Battery",4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,Unknown,"Power On Tested-Good LCD",4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable","UK Unlocked Only","Grade A - Very Good Condition",Working,4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",156
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Insurance Grade",Working,4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Good LCD",8
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 9360 - AZERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",4
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Damaged,"Grade D",BER,4
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",16
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,12
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",840
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Brand New","Brand New",288
Blackberry,"CURVE 9360 - QWERTY",White,"Not Applicable",Unlocked,"Brand New","Brand New",436
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Insurance Grade",Non-working,4
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,16
Blackberry,"CURVE 9360 - QWERTY",Red,"Not Applicable",Unlocked,"Brand New","Brand New",76
Blackberry,"CURVE 9360 - QWERTY",Purple,"Not Applicable",Unlocked,"Brand New","Brand New",444
Blackberry,"CURVE 9360 - QWERTY",White,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,"CURVE 9360 - QWERTY",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,8
Blackberry,"CURVE 9360 - QWERTY",Purple,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Minor Issue",4
Blackberry,"CURVE 9360 - QWERTY",Red,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,"CURVE 9360 - QWERTY",Red,"Not Applicable",Unlocked,"Insurance Grade",Non-working,4
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Blackberry,"CURVE 9360 - QWERTY",Pink,"Not Applicable",Unlocked,"Insurance Grade",Working,4
Blackberry,"CURVE 9360 - QWERTY",Red,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,8
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",16
Blackberry,"CURVE 9360 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Repair - HardWare",4
Blackberry,"CURVE 9360 - QWERTZ",Black,"Not Applicable",Unlocked,"Brand New","Brand New",56
Blackberry,"CURVE 9360 - QWERTZ",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,12
Blackberry,"CURVE 9360 QWERTY",Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,"CURVE 9360 QWERTY",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,"CURVE 9380 - AZERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",20
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",588
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Repair - HardWare",8
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade",Working,8
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,8
Blackberry,"CURVE 9380 - QWERTY",Black,"Not Applicable",Unlocked,Unknown,"Non-working - Need Repair - Software",4
Blackberry,"Curve 9720",Black,"Not Applicable",Unknown,"Grade B - Good Condition",BER,4
Blackberry,"Curve 9720",Black,"Not Applicable",Unknown,"Grade D",BER,4
Blackberry,"CURVE 9720 - BACK COVER",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Blackberry,DTEK50,Black,"Not Applicable",Unlocked,"Brand New","Brand New",4
Blackberry,DTEK60,Silver,32GB,Unlocked,"Brand New","Brand New",12
Blackberry,"F-S1 BATTERY",Black,"Not Applicable","Not Applicable","Brand New","Brand New",40
Blackberry,"HARD SHELL CASE FOR 9900 BOLD",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,8
Blackberry,"HARD TRANSFORM SHELL CASE Z10",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,4
Blackberry,"KEYONE DUAL LAYER SHELL",Black,"Not Applicable","Not Applicable","Brand New","Brand New",16
Blackberry,"KEYONE QWERTY ",Black,32GB,Unlocked,"Brand New","Brand New",8
Blackberry,"KEYONE QWERTY ",Black,64GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Blackberry,"KEYONE QWERTY ",Black,32GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Blackberry,"KEYONE QWERTY ",Black,32GB,Unlocked,"Grade B - Good Condition","Non-working - Need Repair - HardWare",4
Blackberry,"KEYONE SMART FLIP CASE",Black,"Not Applicable","Not Applicable","Brand New","Brand New",12
Blackberry,Leap,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Blackberry,Leap,Black,16GB,Unlocked,"Grade C - Acceptable Condition",Working,8
Blackberry,Leap,Grey,16GB,Unknown,"Not Graded","iOS 7 Locked",4
Blackberry,Leap,Black,"Not Applicable",Unlocked,"Brand New","Brand New",80
Blackberry,Leap,Grey,16GB,Unlocked,"Brand New","Brand New",12
Blackberry,Leap,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,Leap,Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",12
Blackberry,Leap,Black,16GB,Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"LEATHER POCKET CASE FOR Q10 ",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,8
Blackberry,"LEATHER POCKET FOR Z10",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,4
Blackberry,"LS1 BATTERY",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Blackberry,MOTION,Black,"Not Applicable",Unlocked,"Brand New","Brand New",20
Blackberry,Passport,Black,"Not Applicable",Vodafone,"Insurance Grade","Brand New",4
Blackberry,Passport,Black,32GB,Unlocked,"Not Graded",Working,4
Blackberry,Passport,Black,32GB,Unlocked,Unknown,"Non-working - Need Repair - Software",4
Blackberry,"Pearl 9105",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"Pearl 9105","White Pearl","Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"Pearl 9105",Black,"Not Applicable",Damaged,"Grade D",BER,4
Blackberry,"Pearl 9105",White,"Not Applicable",Unlocked,"Brand New","Brand New",56
Blackberry,"Pearl 9105",White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Blackberry,"PORSCHE DESIGN P9981 - QWERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",28
Blackberry,"PORSCHE DESIGN P9981 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Blackberry,PRIV,Black,32GB,Vodafone,"Grade B - Good Condition",Working,4
Blackberry,PRIV,Black,32GB,Unlocked,"Grade B - Good Condition","Working – Minor Screen Burn",4
Blackberry,PRIV,Black,32GB,Unlocked,"Grade C - Acceptable Condition","Working - Minor Issue",4
Blackberry,Q10,Black,"Not Applicable",Unknown,"Grade A - Very Good Condition",BER,4
Blackberry,Q10,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,8
Blackberry,Q10,Black,"Not Applicable",Unknown,"Grade D","Power On Tested-Good LCD",4
Blackberry,Q10,Black,"Not Applicable",Unknown,"Grade A - Very Good Condition","Power On Tested-Broken LCD",4
Blackberry,Q10,Black,16GB,"EE Network","Grade A - Very Good Condition",Non-working,4
Blackberry,Q10,Black,16GB,Unlocked,"Grade B - Good Condition",Working,12
Blackberry,Q10,Black,16GB,Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,Q10,Black,"Not Applicable",Unknown,Unknown,"Power On Tested-Good LCD",8
Blackberry,Q10,Black,16GB,Unknown,Unknown,"Power On Tested-Good LCD",4
Blackberry,Q10,Black,16GB,NOS-Portugal,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,Q10,Black,16GB,Unlocked,"Insurance Grade","Brand New",4
Blackberry,Q10,Black,"Not Applicable",Unlocked,"Grade D",Working,4
Blackberry,Q10,White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Blackberry,Q10,Black,16GB,O2,"Grade A - Very Good Condition","Non-working - Need Repair - HardWare",4
Blackberry,Q10,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,Q10,Black,16GB,Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,Q10,Black,"Not Applicable",Unlocked,"Brand New","Brand New",32
Blackberry,Q10,Black,16GB,Unlocked,"Grade C - Acceptable Condition","Non-working - Need Repair - Software",4
Blackberry,"Q10 AZERTY",Black,16GB,Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,"Q10 AZERTY",Black,16GB,Unlocked,"Insurance Grade","Brand New",40
Blackberry,"Q10 AZERTY",Black,16GB,Unlocked,"Insurance Grade","Non-working - DeBrand",4
Blackberry,"Q10 AZERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",88
Blackberry,"Q10 AZERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,8
Blackberry,"Q10 AZERTY",White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Blackberry,"Q10 AZERTY",Black,16GB,Damaged,"Grade C - Acceptable Condition",BER-Scrap,4
Blackberry,"Q10 AZERTY",Black,16GB,Unlocked,"Grade B - Good Condition",Working,4
Blackberry,"Q10 QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Blackberry,"Q10 QWERTY",Black,16GB,Unlocked,"Grade B - Good Condition",Working,4
Blackberry,"Q10 QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Blackberry,Q5,Black,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Blackberry,Q5,Black,8GB,O2,"Grade C - Acceptable Condition",Working,4
Blackberry,Q5,Black,8GB,Unknown,"Grade D",BER,4
Blackberry,Q5,Black,8GB,Unknown,Unknown,Non-working,4
Blackberry,Q5,Black,8GB,Unknown,"Grade B - Good Condition",Non-working,4
Blackberry,Q5,Black,"Not Applicable",Unknown,"Grade B - Good Condition",BER,4
Blackberry,Q5,White,8GB,Unlocked,"Brand New","Brand New",1932
Blackberry,Q5,White,8GB,Unlocked,"Grade A - Very Good Condition",Working,8
Blackberry,Q5,White,8GB,Unlocked,"Insurance Grade","Brand New",16
Blackberry,Q5,White,8GB,Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,Q5,White,8GB,Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",8
Blackberry,"Q5 AZERTY",Black,8GB,Unlocked,"Insurance Grade","Brand New",4
Blackberry,"Q5 AZERTY",Black,8GB,Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"Q5 AZERTY",Black,8GB,Vodafone,"Grade A - Very Good Condition",Working,4
Blackberry,"Q5 QWERTY",Black,8GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Brand New","Brand New",4
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,8
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,24
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",32
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",4
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,"QWERTY 8520",Black,"Not Applicable",Damaged,Unknown,Non-working,4
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Need Battery",4
Blackberry,"QWERTY 8520",Black,"Not Applicable",O2,Unknown,Non-working,4
Blackberry,"QWERTY 8520",White,"Not Applicable",O2,Unknown,Non-working,4
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",8
Blackberry,"QWERTY 8520",Black,"Not Applicable",Unlocked,"Grade D","Non-working - Need Battery",8
Blackberry,"QWERTY 8520","White Pearl","Not Applicable",Unlocked,"Grade D","Non-working - Need Battery Cover And Battery",4
Blackberry,"SOFT SHELL CASE FOR BLACKBERRY CURVE 9320",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,120
Blackberry,"STEREO HEADSET 3.5 MM STRAIGH",Black,"Not Applicable","Not Applicable","Brand New","Brand New",444
Blackberry,"STEREO HEADSET 3.5 MM STRAIGH",White,"Not Applicable","Not Applicable","Brand New","Brand New",28
Blackberry,"Torch 9800",Black,"Not Applicable","EE Network","Grade D",BER,4
Blackberry,"Torch 9800",Black,4GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,"Torch 9800",Black,4GB,Unlocked,"Grade B B2B",Working,8
Blackberry,"Torch 9800",Black,4GB,Unknown,"Grade B B2B",BER,4
Blackberry,"Torch 9800",Black,4GB,Vodafone,"Grade C - Acceptable Condition",Working,4
Blackberry,"TORCH 9800 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,16
Blackberry,"TORCH 9800 - AZERTY",Black,4GB,Unlocked,"Insurance Grade","Brand New",116
Blackberry,"TORCH 9800 - AZERTY",Black,4GB,Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,"TORCH 9800 - AZERTY",Black,4GB,Unlocked,"Grade A - Very Good Condition",Working,24
Blackberry,"TORCH 9800 - AZERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,8
Blackberry,"TORCH 9800 - AZERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Blackberry,"TORCH 9800 - AZERTY",Black,4GB,Unlocked,"Grade B - Good Condition",Working,8
Blackberry,"TORCH 9800 - AZERTY",Black,4GB,Unlocked,"Brand New","Brand New",4
Blackberry,"TORCH 9800 - QWERTY",Black,"Not Applicable",Vodafone,"Grade D",Working,4
Blackberry,"TORCH 9800 - QWERTY",Black,4GB,Unlocked,"Insurance Grade","Brand New",4
Blackberry,"TORCH 9800 - QWERTY",Black,4GB,Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"TORCH 9800 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,8
Blackberry,"TORCH 9800 - QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",8
Blackberry,"TORCH 9800 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"TORCH 9800 - QWERTY",Black,"Not Applicable",Unlocked,"Grade D","Working - Minor Issue",4
Blackberry,"TORCH 9800 - QWERTY",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,8
Blackberry,"TORCH 9800 - QWERTY",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition","Working - Minor Issue",4
Blackberry,"TORCH 9800 - QWERTY",Black,4GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,"TORCH 9800 - QWERTY",Red,"Not Applicable",Unlocked,"Grade D",Working,4
Blackberry,"Torch 9810",Grey,"Not Applicable",Unlocked,"Brand New","Brand New",500
Blackberry,"Torch 9810",Grey,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Blackberry,"TORCH 9810 - AZERTY",Grey,8GB,Unlocked,"Insurance Grade","Brand New",8
Blackberry,"TORCH 9810 - AZERTY",Grey,8GB,Unlocked,"Grade B - Good Condition",Working,4
Blackberry,"TORCH 9810 - AZERTY",Grey,"Not Applicable",Unlocked,"Insurance Grade","Brand New",36
Blackberry,"TORCH 9810 - AZERTY",Grey,"Not Applicable",Unlocked,"Insurance Grade",Working,4
Blackberry,"TORCH 9810 - AZERTY",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - DeBrand",4
Blackberry,"TORCH 9810 - AZERTY",Grey,8GB,Unlocked,"Insurance Grade",Working,4
Blackberry,"TORCH 9810 - AZERTY",Grey,8GB,Unlocked,"Grade A - Very Good Condition",Working,8
Blackberry,"TORCH 9810 - AZERTY",Black,8GB,Unlocked,"Insurance Grade","Brand New",32
Blackberry,"TORCH 9810 - AZERTY",Grey,"Not Applicable",Unlocked,"Brand New","Brand New",16
Blackberry,"TORCH 9810 - AZERTY",Silver,8GB,Unlocked,"Insurance Grade","Brand New",48
Blackberry,"TORCH 9810 - AZERTY",Silver,8GB,Unlocked,"Grade A - Very Good Condition",Working,24
Blackberry,"TORCH 9810 - AZERTY",Silver,8GB,Unlocked,"Insurance Grade",Non-working,4
Blackberry,"TORCH 9810 - AZERTY",Silver,8GB,Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,"TORCH 9810 - AZERTY",Silver,8GB,Unlocked,"Insurance Grade",Working,4
Blackberry,"TORCH 9810 - AZERTY",Silver,8GB,Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",4
Blackberry,"TORCH 9810 - QWERTY",Grey,8GB,Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"TORCH 9810 - QWERTY",Grey,8GB,Unlocked,"Grade B B2B",Working,4
Blackberry,"TORCH 9810 - QWERTY",Grey,8GB,Unlocked,"Grade B - Good Condition",Working,4
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,8
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Insurance Grade","Brand New",20
Blackberry,"TORCH 9810 - QWERTY",Grey,8GB,Unlocked,"Insurance Grade","Brand New",4
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,8
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Brand New","Brand New",716
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade B B2B",Non-working,4
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition",BER-Scrap,8
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Insurance Grade",Non-working,8
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Brand New","Non-working - Need Repair - Software",4
Blackberry,"TORCH 9810 - QWERTY",White,"Not Applicable",Unlocked,"Brand New","Brand New",468
Blackberry,"TORCH 9810 - QWERTY",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,"TORCH 9810 - QWERTY",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,12
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Vodafone,"Grade B - Good Condition","Power On Tested-Good LCD",4
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",4
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Insurance Grade",Working,4
Blackberry,"TORCH 9810 - QWERTY",White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Blackberry,"TORCH 9810 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,"TORCH 9810 - QWERTY",Black,8GB,Unlocked,"Insurance Grade","Brand New",24
Blackberry,"TORCH 9810 - QWERTY",Black,8GB,Unlocked,"Insurance Grade",Working,4
Blackberry,"TORCH 9810 - QWERTY",Silver,8GB,Unlocked,"Insurance Grade","Brand New",28
Blackberry,"TORCH 9810 - QWERTY",Silver,8GB,Unlocked,"Grade A - Very Good Condition",Non-working,4
Blackberry,"TORCH 9810 - QWERTY",Silver,8GB,Unlocked,"Grade C - Acceptable Condition","Non-working - Need Repair - HardWare",4
Blackberry,"TORCH 9810 - QWERTY",Silver,8GB,Unlocked,"Not Graded",Non-working,4
Blackberry,"TORCH 9810 - QWERTY",Silver,8GB,Unlocked,"Grade A - Very Good Condition",Working,8
Blackberry,"TORCH 9810 - QWERTZ",Grey,"Not Applicable",Unlocked,"Brand New","Brand New",32
Blackberry,"Torch 9860",Black,"Not Applicable",Unknown,Unknown,Non-working,4
Blackberry,"Torch 9860",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",4
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Unlocked,"Brand New","Brand New",344
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,8
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",4
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Unlock",4
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,8
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Minor Issue",4
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Unlocked,"Insurance Grade",Working,4
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Damaged,"Brand New","Brand New",4
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Unlocked,"Insurance Grade","Brand New",8
Blackberry,"TORCH 9860 - QWERTY",Grey,"Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Good LCD",4
Blackberry,"TORCH 9860 - QWERTY",Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,4
Blackberry,"TORCH 9860 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Minor Issue",4
Blackberry,"TORCH 9860 - QWERTY",Black,4GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Blackberry,"TOUCH 9900 - QWERTY",Black,8GB,Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Blackberry,"TOUCH 9900 - QWERTY",Black,8GB,Foreign,"Grade C - Acceptable Condition",Working,4
Blackberry,"TOUCH 9900 - QWERTY",Black,8GB,Unlocked,"Grade B - Good Condition",Working,4
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Grade D","Power On Tested-Good LCD",4
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,8
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Working - Need Battery",8
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",8
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",12
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Non-working - Need Battery",12
Blackberry,"TOUCH 9900 - QWERTY",Black,8GB,Unlocked,"Not Graded",Working,36
Blackberry,"TOUCH 9900 - QWERTY",Black,8GB,Unlocked,Unknown,Non-working,8
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Brand New","Brand New",368
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Broken LCD",4
Blackberry,"TOUCH 9900 - QWERTY",White,"Not Applicable",Unlocked,"Brand New","Brand New",832
Blackberry,"TOUCH 9900 - QWERTY",White,"Not Applicable",Unlocked,"Grade D","Power On Tested-Good LCD",4
Blackberry,"TOUCH 9900 - QWERTY",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Power On Tested-Good LCD",4
Blackberry,"TOUCH 9900 - QWERTY",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Unlocked,Unknown,"Non-working - DeBrand",4
Blackberry,"TOUCH 9900 - QWERTY",Black,"Not Applicable",Vodafone,"Grade B - Good Condition",Working,8
