make,model,colour,capacity,network,grade,condition,count
Alcatel,1010X,Black,"Not Applicable",Damaged,"Grade D",BER-Scrap,4
Alcatel,1010X,Black,1GB,Unlocked,"Grade D",Working,4
Alcatel,1010X,Black,1GB,Virgin,"Grade D",Working,4
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Grade B - Good Condition",Working,100
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Grade B B2B",Working,32
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,48
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Insurance Grade","Brand New",20
Alcatel,1013X,"Bluish Black","Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,12
Alcatel,1013X,"Bluish Black","Not Applicable",Virgin,"Grade B - Good Condition","Non-working - Unlock",8
Alcatel,1013X,Black,"Not Applicable",Virgin,"Grade C - Acceptable Condition","Non-working - Unlock",4
Alcatel,1013X,"Bluish Black","Not Applicable",Virgin,"Grade B - Good Condition","Non-working - Need Battery Cover And Battery",4
Alcatel,1013X,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Alcatel,1013X,Blue,"Not Applicable","EE Network","Grade C - Acceptable Condition","Working - Need Battery Cover",4
Alcatel,1013X,Black,"Not Applicable",Unlocked,"Insurance Grade",Working,4
Alcatel,1016D,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",8
Alcatel,1016D,White,"Not Applicable",Unlocked,"Brand New","Brand New",4
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,436
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade B B2B",Working,144
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,68
Alcatel,1016G,White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,16
Alcatel,1016G,White,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,136
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Alcatel,1016G,White,"Not Applicable",Unlocked,"Grade B B2B",Working,8
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Good LCD",4
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade D",Working,20
Alcatel,1016G,Black,"Not Applicable",Virgin,"Grade B - Good Condition",Working,4
Alcatel,1016G,Black,"Not Applicable",Virgin,"Grade B - Good Condition","Working - Need Battery Cover",4
Alcatel,1016G,Black,"Not Applicable",Virgin,"Grade B - Good Condition","Non-working - Need Battery Cover",4
Alcatel,1016G,Black,"Not Applicable",Virgin,"Grade C - Acceptable Condition","Non-working - Unlock",4
Alcatel,1016G,Black,"Not Applicable",Unlocked,Unknown,Non-working,4
Alcatel,1016G,White,"Not Applicable",Virgin,"Grade B - Good Condition","Non-working - Unlock",4
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Brand New","Brand New",1200
Alcatel,1016G,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",68
Alcatel,1016G,Black,"Not Applicable",Damaged,"Grade D","Power On Tested-Good LCD",4
Alcatel,1016G,Grey,"Not Applicable",O2,"Grade C - Acceptable Condition",Working,4
Alcatel,1016G,Black,"Not Applicable","EE Network","Grade C - Acceptable Condition",Working,32
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade D","Working - Minor Issue",4
Alcatel,1016G,Black,"Not Applicable","EE Network","Grade D",Working,4
Alcatel,1016G,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Alcatel,1016G,Black,1GB,"EE Network","Grade D","Working - Minor Issue",4
Alcatel,1016G,Black,1GB,Unlocked,"Grade D","Working - Minor Issue",4
Alcatel,1016G,Black,1GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Alcatel,1016G,Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,4
Alcatel,1016G,Grey,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
